Nº Distrito;DISTRITO;m2 de ZONAS VERDES Y PARQUES en distrito;ha de ZONAS VERDES Y PARQUES en distrito 
1;CENTRO;296.640,47;29,66
2;ARGANZUELA;913.614,95;91,36
3;RETIRO;366.849,39;36,68
4;SALAMANCA;348.912,97;34,89
5;CHAMARTIN;556.323,56;55,63
6;TETUAN;619.530,41;61,95
7;CHAMBERI;98.418,95;9,84
8;FUENCARRAL - EL PARDO;3.717.351,69;371,74
9;MONCLOA - ARAVACA;1.913.960,10;191,40
10;LATINA;2.608.444,77;260,84
11;CARABANCHEL;2.414.260,97;241,43
12;USERA;1.645.061,70;164,51
13;PUENTE DE VALLECAS;2.781.632,66;278,16
14;MORATALAZ;1.158.420,24;115,84
15;CIUDAD LINEAL;1.279.131,28;127,91
16;HORTALEZA;2.969.629,51;296,96
17;VILLAVERDE;2.147.536,31;214,75
18;VILLA DE VALLECAS;2.980.663,33;298,07
19;VICALVARO;2.044.263,27;204,43
20;SAN BLAS - CANILLEJAS;1.730.940,00;173,09
21;BARAJAS;913.933,27;91,39
;;;
;;;
